2014-10-26 14:28:59 Debug: Notice (8): Undefined index:  model_id in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 263]
2014-10-26 14:28:59 Debug: Notice (8): Undefined variable: var in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 264]
2014-10-26 14:39:02 Debug: Notice (8): Undefined index:  model in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 262]
2014-10-26 14:39:02 Debug: Notice (8): Undefined index:  recursive in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 263]
2014-10-26 14:39:02 Debug: Notice (8): Undefined index:  model_id in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 264]
2014-10-26 14:39:02 Debug: Notice (8): Undefined variable: var in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 265]
2014-10-26 14:41:25 Debug: Notice (8): Undefined index:  model_id in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 264]
2014-10-26 14:41:25 Debug: Notice (8): Undefined variable: var in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 265]
2014-10-26 14:42:40 Debug: Notice (8): Undefined index:  model_id in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 264]
2014-10-26 14:42:40 Debug: Notice (8): Undefined variable: var in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 265]
2014-10-26 14:42:47 Debug: Notice (8): Undefined variable: key in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 305]
2014-10-26 14:42:47 Debug: Notice (8): Undefined variable: userid in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 306]
2014-10-26 14:42:47 Debug: Notice (8): Undefined index:  model_id in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 264]
2014-10-26 14:42:47 Debug: Notice (8): Undefined variable: var in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 265]
2014-10-26 14:43:48 Debug: Notice (8): Undefined variable: key in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 305]
2014-10-26 14:43:48 Debug: Notice (8): Undefined index:  model_id in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 264]
2014-10-26 14:43:48 Debug: Notice (8): Undefined variable: var in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 265]
2014-10-26 14:44:11 Debug: Notice (8): Undefined index:  model_id in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 264]
2014-10-26 14:44:11 Debug: Notice (8): Undefined variable: var in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 265]
2014-10-26 14:45:26 Debug: Notice (8): Undefined index:  model_id in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 264]
2014-10-26 14:45:26 Debug: Notice (8): Undefined variable: var in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 265]
2014-10-26 14:45:59 Debug: Notice (8): Undefined variable: var in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 265]
2014-10-27 11:27:53 Debug: Notice (8): Undefined index:  conditions in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 261]
2014-10-27 11:27:53 Debug: Notice (8): Undefined index:  model in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 262]
2014-10-27 11:27:53 Debug: Notice (8): Undefined variable: var in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 265]
2014-10-27 11:27:59 Debug: Notice (8): Undefined variable: var in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 265]
2014-10-27 11:33:41 Debug: Notice (8): Undefined variable: var in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 265]
2014-10-27 11:34:06 Debug: Notice (8): Undefined variable: conditions in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 265]
2014-10-27 14:07:32 Debug: Notice (8): Undefined variable: checkvalue in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 265]
2014-10-27 14:07:50 Debug: Notice (8): Undefined variable: checkvalue in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 265]
2014-10-27 15:21:47 Debug: Notice (8): Undefined variable: userid in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 268]
2014-10-27 15:21:47 Debug: Notice (8): Undefined variable: appkey in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 268]
2014-10-27 15:21:54 Debug: Notice (8): Undefined variable: userid in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 268]
2014-10-27 15:21:54 Debug: Notice (8): Undefined variable: appkey in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 268]
2014-10-27 15:21:59 Debug: Notice (8): Undefined variable: userid in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 268]
2014-10-27 15:21:59 Debug: Notice (8): Undefined variable: appkey in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 268]
2014-10-27 15:26:36 Debug: Notice (8): Undefined variable: userid in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 274]
2014-10-27 15:26:36 Debug: Notice (8): Undefined variable: appkey in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 274]
2014-10-28 23:42:05 Debug: Notice (8): Undefined index:  is_pass in [F:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 231]
2014-10-29 00:58:26 Debug: Notice (8): Undefined index:  HomepagePicture in [F:\Projects\PHP\aodshop\app\controllers\components\filehandle.php, line 4]
2014-10-29 00:58:26 Debug: Notice (8): Undefined index:  HomepagePicture in [F:\Projects\PHP\aodshop\app\controllers\components\filehandle.php, line 7]
2014-10-29 01:45:04 Debug: Notice (8): Undefined variable: userinfo in [F:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 355]
2014-10-29 02:16:18 Debug: Notice (8): Undefined variable: userid in [F:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 395]
2014-10-30 00:45:55 Debug: Notice (8): Undefined variable: userid in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 429]
2014-10-30 00:45:55 Debug: Notice (8): Undefined variable: userid in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 430]
2014-10-30 00:45:55 Debug: Notice (8): Undefined variable: userid in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 429]
2014-10-30 00:45:55 Debug: Notice (8): Undefined variable: userid in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 430]
2014-10-30 10:19:05 Debug: Notice (8): Undefined variable: userid in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 430]
2014-10-30 10:34:14 Debug: Notice (8): Undefined index:  deadline in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 432]
2014-10-30 13:21:44 Debug: Notice (8): Undefined variable: model in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 430]
2014-10-30 13:21:54 Debug: Notice (8): Undefined variable: model in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 430]
2014-10-30 17:37:27 Debug: Notice (8): Array to string conversion in [E:\Projects\PHP\aodshop\cake\libs\model\datasources\dbo_source.php, line 2387]
2014-10-30 18:02:41 Debug: Notice (8): Undefined variable: start in [E:\Projects\PHP\aodshop\app\controllers\api_controller.php, line 460]
